Accession ID	Collection date	Submission date	Location
EPI_ISL_476178	2020-03-16	2020-06-25	South America / Brazil / Rio de Janeiro
EPI_ISL_14800287	2021-04-08	2022-09-02	South America / Brazil / Amazonas
EPI_ISL_476198	2020-03-24	2020-06-25	South America / Brazil / Ceara
EPI_ISL_15737305	2022-10-24	2022-11-10	South America / Brazil / Rio de Janeiro
EPI_ISL_15737304	2022-10-21	2022-11-10	South America / Brazil / Rio de Janeiro
EPI_ISL_15737303	2022-10-25	2022-11-10	South America / Brazil / Rio de Janeiro
EPI_ISL_15737302	2022-10-25	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737301	2022-10-25	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737300	2022-10-25	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737299	2022-10-20	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737298	2022-10-25	2022-11-10	South America / Brazil / Rio de Janeiro
EPI_ISL_15737297	2022-10-18	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737296	2022-10-25	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737295	2022-10-25	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737294	2022-10-20	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737293	2022-10-18	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737292	2022-10-21	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737291	2022-10-19	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737290	2022-10-19	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737289	2022-10-29	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737288	2022-10-27	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737287	2022-10-30	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737286	2022-10-29	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737285	2022-10-26	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737284	2022-10-29	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737283	2022-10-28	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737282	2022-10-28	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737281	2022-10-25	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737280	2022-10-29	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737279	2022-10-29	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737278	2022-10-30	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737277	2022-10-27	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737276	2022-10-29	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737275	2022-10-28	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737274	2022-10-29	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737273	2022-10-26	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737272	2022-10-21	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737271	2022-10-22	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737270	2022-10-20	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737269	2022-10-20	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737268	2022-10-15	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737267	2022-10-14	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737266	2022-10-12	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737265	2022-10-12	2022-11-10	South America / Brazil / Rio de Janeiro
EPI_ISL_15737264	2022-10-12	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737263	2022-10-07	2022-11-10	South America / Brazil / Rio de Janeiro
EPI_ISL_15737262	2022-10-05	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737261	2022-10-04	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737260	2022-10-16	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737259	2022-10-12	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737258	2022-09-29	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737257	2022-09-26	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737256	2022-10-05	2022-11-10	South America / Brazil / Pernambuco / Recife
EPI_ISL_15737255	2022-09-04	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_14800111	2020-05-26	2022-09-02	South America / Brazil / Amazonas
EPI_ISL_15737251	2022-08-30	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737250	2022-08-30	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737249	2022-08-30	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737247	2022-08-30	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737246	2022-08-26	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737245	2022-08-25	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737244	2022-08-23	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737243	2022-08-23	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737242	2022-08-23	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737241	2022-08-23	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737240	2022-08-23	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737239	2022-09-23	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737238	2022-10-07	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737237	2022-09-28	2022-11-10	South America / Brazil / Parana / Curitiba
EPI_ISL_15737232	2022-09-27	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737231	2022-09-16	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737230	2022-09-15	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737229	2022-09-18	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737225	2022-09-06	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15737224	2022-09-06	2022-11-10	South America / Brazil / Sao Paulo
EPI_ISL_15652556	2022-05-12	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652555	2022-01-08	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652554	2022-04-29	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652553	2022-01-22	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652548	2022-08-03	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652547	2022-01-13	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652546	2022-05-06	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652545	2022-04-30	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652540	2022-04-13	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652539	2022-08-05	2022-11-01	South America / Brazil / Rio de Janeiro
EPI_ISL_15652538	2022-07-11	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652533	2022-04-29	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652532	2022-04-27	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652531	2022-07-07	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652530	2022-05-04	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652525	2022-07-13	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652524	2022-03-29	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652523	2022-01-08	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652522	2022-04-27	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652518	2022-07-14	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652517	2022-02-03	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652516	2022-05-03	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652515	2022-07-29	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652506	2022-07-18	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652505	2022-04-21	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652504	2022-04-16	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652503	2022-07-31	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652502	2022-03-31	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652501	2022-01-20	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652500	2022-05-14	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652499	2022-05-09	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652498	2022-01-10	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652497	2022-02-03	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652496	2022-01-12	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652495	2022-01-21	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652494	2022-08-08	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652493	2022-07-16	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652492	2022-07-27	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652491	2022-07-30	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652490	2022-07-29	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652489	2022-04-22	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652488	2022-05-05	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652487	2022-04-23	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652486	2022-04-14	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652485	2022-05-05	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652484	2022-05-01	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652483	2022-04-23	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652482	2022-04-21	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652481	2022-04-16	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652480	2022-04-15	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652479	2022-04-14	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652478	2022-04-13	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652477	2022-04-13	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652476	2022-05-01	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652475	2022-05-01	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652474	2022-05-05	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652473	2022-04-27	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652472	2022-04-22	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652471	2022-04-20	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652470	2022-04-14	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652469	2022-01-31	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652468	2022-01-12	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652467	2022-02-04	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652466	2022-01-07	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652465	2022-08-03	2022-11-01	South America / Brazil / Rio de Janeiro
EPI_ISL_15652464	2022-03-25	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652463	2022-05-09	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652462	2022-07-30	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652461	2022-04-24	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652460	2022-08-02	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652459	2022-04-24	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652458	2022-07-29	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652457	2022-07-27	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652456	2022-07-13	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652455	2022-04-24	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652454	2022-04-12	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652453	2022-04-27	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652452	2022-08-02	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652451	2022-04-30	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652450	2022-01-18	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652449	2022-06-13	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652448	2022-06-15	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652447	2022-04-14	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652446	2022-05-06	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652445	2022-08-06	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652444	2022-04-12	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652443	2022-04-12	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652442	2022-03-22	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652441	2022-04-25	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652440	2022-01-12	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652439	2022-08-02	2022-11-01	South America / Brazil / Rio de Janeiro
EPI_ISL_15652438	2022-07-20	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652437	2022-07-11	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652436	2022-04-01	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652435	2022-04-01	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652434	2022-03-29	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652433	2022-07-12	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652432	2022-04-09	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652431	2022-03-31	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652430	2022-01-06	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652429	2022-08-10	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652428	2022-08-01	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652427	2022-04-02	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652426	2022-02-01	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652425	2022-06-29	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652424	2022-08-04	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652423	2022-04-27	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652422	2022-03-29	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652421	2022-03-29	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652420	2022-01-12	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652419	2022-08-02	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652418	2022-07-26	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652417	2022-03-15	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652416	2022-04-26	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652415	2022-01-13	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652414	2022-02-05	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652413	2022-03-31	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652412	2022-08-04	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652411	2021-12-31	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652410	2022-01-14	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652409	2022-04-23	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652408	2022-01-13	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652407	2022-01-06	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652406	2022-02-01	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652405	2022-04-12	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652404	2022-06-29	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652403	2022-07-26	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652402	2022-04-16	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652401	2022-01-14	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652400	2022-04-14	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652399	2022-04-29	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652398	2022-03-29	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652397	2022-03-24	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652396	2022-07-15	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652395	2022-08-10	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652394	2022-07-28	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652393	2022-05-16	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652392	2022-06-29	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652391	2022-03-18	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652390	2022-04-28	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652389	2022-01-20	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652388	2022-07-15	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652387	2022-01-11	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652386	2022-08-01	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652385	2022-08-02	2022-11-01	South America / Brazil / Rio de Janeiro
EPI_ISL_15652384	2022-06-29	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652383	2022-05-28	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652382	2022-07-08	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652381	2022-07-13	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652380	2022-02-04	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652379	2022-01-19	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652378	2022-04-01	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652377	2022-03-26	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652376	2022-03-15	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652375	2022-07-30	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652374	2022-03-27	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652373	2022-03-19	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652372	2022-03-17	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652371	2022-03-16	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652370	2022-03-27	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652369	2022-04-09	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652368	2022-03-18	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652367	2022-03-16	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652366	2022-03-22	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652365	2022-04-23	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652364	2022-04-21	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652363	2022-04-08	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652362	2022-04-08	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652361	2022-04-08	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652360	2022-04-07	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652359	2022-04-06	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652358	2022-04-06	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652357	2022-04-01	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652356	2022-04-01	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652355	2022-03-31	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652354	2022-03-29	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652353	2022-03-29	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652352	2022-03-28	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652351	2022-03-23	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652350	2022-03-23	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652349	2022-03-22	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652348	2022-03-19	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652347	2022-03-17	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652346	2022-03-17	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652345	2022-03-16	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652344	2022-03-15	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652343	2022-03-15	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652342	2022-01-08	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652341	2022-01-13	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652340	2022-01-14	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652339	2022-01-14	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652338	2022-01-08	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652337	2022-01-12	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652336	2021-12-31	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652335	2022-01-04	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652334	2022-01-04	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652333	2022-01-12	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652332	2022-01-13	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652331	2022-01-05	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652330	2022-01-08	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652329	2022-01-12	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652328	2022-06-14	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652327	2022-07-19	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652326	2022-08-02	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652325	2022-08-06	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652324	2022-08-06	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652323	2022-08-05	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652322	2022-08-02	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652321	2022-08-03	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652320	2022-07-28	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652319	2022-07-26	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652318	2022-07-27	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652317	2022-07-26	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652316	2022-05-10	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652315	2022-05-06	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652314	2022-07-13	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652313	2022-07-16	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652312	2022-08-03	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652311	2022-08-04	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652310	2022-06-13	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652309	2022-06-13	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652308	2022-06-21	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652307	2022-07-13	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652306	2022-06-15	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652305	2022-07-30	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652304	2022-05-17	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652303	2022-03-31	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652302	2022-08-04	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652301	2022-08-05	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652300	2022-08-03	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652299	2022-08-03	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652298	2022-08-02	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652297	2022-07-28	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652296	2022-07-30	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652295	2022-07-31	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652294	2022-04-26	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652293	2022-04-21	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652292	2022-08-05	2022-11-01	South America / Brazil / Rio de Janeiro
EPI_ISL_15652291	2022-08-05	2022-11-01	South America / Brazil / Rio de Janeiro
EPI_ISL_15652290	2022-07-12	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652289	2022-08-13	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652288	2022-08-12	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652287	2022-08-02	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652286	2022-08-03	2022-11-01	South America / Brazil / Pernambuco
EPI_ISL_15652285	2022-04-15	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652284	2022-03-28	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652283	2022-07-14	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652282	2022-01-06	2022-11-01	South America / Brazil / Ceara
EPI_ISL_15652281	2022-07-19	2022-11-01	South America / Brazil / Bahia
EPI_ISL_15652280	2022-06-13	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652279	2022-07-13	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652278	2022-07-11	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652277	2022-07-14	2022-11-01	South America / Brazil / Amazonas
EPI_ISL_15652276	2022-05-13	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652275	2022-04-12	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652274	2022-05-11	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652273	2022-04-26	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652272	2022-04-15	2022-11-01	South America / Brazil / Parana
EPI_ISL_15652271	2022-06-07	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652270	2022-05-17	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652269	2022-05-13	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652268	2022-05-12	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652267	2022-05-12	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652266	2022-05-11	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652265	2022-05-06	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652264	2022-05-01	2022-11-01	South America / Brazil / Sao Paulo
EPI_ISL_15652263	2022-04-28	2022-11-01	South America / Brazil / Sao Paulo
